id,FEN,Computer Move,Idea,Solution,ELO
1,r2nr2k/1bp1bpp1/p7/1p1pP3/3P2q1/2P2NP1/P1B2PK1/R1BQR3 w - - 0 1,,,Rh1+ Kg8 Bh7+ Kf8 Bf5,1721
2,rn2k1r1/1R1b1p1p/3pp3/p6R/4P3/3NBP2/2P1B1P1/b4K2 w q - 0 1,,,Rxa5,1699
3,4r1k1/Q4ppp/1r1q4/N1pPpb2/1nP5/R5P1/P4PBP/2R3K1 b - - 0 1,,,...Ra6 Qb7 Rb8,1800
4,r1bq1rk1/ppppnp1p/2n3p1/3N2B1/2PQ4/8/PP2PPPP/R3KB1R w KQ - 1 0,,,Nf6+ Kh8 Ng4+,1821
5,2r1r1k1/2p2pp1/p4q1B/1p6/1P4Q1/P5P1/4nP1P/2RR1K2 w - -,,Eat it for free,Qxh6,1866
6,1R1Q4/5k2/5P2/2K5/1p5p/7P/8/8 w - -,,Mate in 3,Qg8+ Kxf6 Rf8+ Ke5 Qd5#,1768
7,2kr4/p2q1r2/1p1PQB2/2p2P2/5P2/6R1/PP5K/8 b - -,,,...Qxe6 fxe6 Rxf6 d7+ Kc7,1610
8,2r5/1p1qpp1k/pB1p1npb/Pb5p/1PB1P3/2R2P2/Q5PP/3R2K1 w - -,,,Bxb5,1500
9,r3k2r/1pp1bpp1/p3p2p/1q1pPn1N/1P1P3n/2P1B1P1/P2Q1P1P/RN3RK1 b kq b3,,,...Nf3+ Kg2 Nxd2,1050
10,8/8/4kp2/8/P3p3/2b4R/2N2rPP/3K4 w - -,,,Rxc3,1060
11,rnbqk2r/pp2bppp/2p1pn2/6B1/2PPN3/5N2/PP3PPP/R2QKB1R b KQkq -,,,...Nxe4,1020
12,r1bqk2r/pppp1ppp/5n2/4n3/1b2PP2/2N5/PPP3PP/R1BQKBNR w KQkq -,,,fxe5,1030
13,2q2r1k/pp4pp/2p1pr2/4R2b/3P1p2/2P5/PPBQ1PPP/5RK1 w - -,,,Rxh5,1005
14,1r6/1Pk4p/B4pp1/4p1n1/2K1P3/6P1/7P/1R6 w - -,,,Kb5 Nxe4 Rc1+ Kd7 Kb6,2100
